"uid","description"
"0x98086eae8b603ea911e5e1f2fd9f84de","Оборудование систем пожаротушения"
"0x98086eae8b603ea911e5e1f2fd9f84e2","Оборудование сотовой связи"
"0x98086eae8b603ea911e5e1f3159a7f2d","Офисное оборудование"
"0x98086eae8b603ea911e5e1f31b9c376f","Парикмахерское оборудование"
"0x98086eae8b603ea911e5e1f3818e9af1","Сварочное оборудование"
"0x98086eae8b603ea911e5e1f3b78b0a22","Термоупаковочное оборудование"
"0x98086eae8b603ea911e5e1f3c38c1907","Тренажерное оборудование"
"0x98086eae8b603ea911e5e1f3e772b5c4","Шиномонтажное оборудование"
"0x98086eae8b603ea911e5e1f3ed746e58","Элеваторное оборудование"
"0xba9de61f13ed5cb911e65fcafac5dea4","Термопресс оборудование"
"0x851c6eae8b603ea911e5f648c7e21039","Штамповая оснастка"
"0x851c6eae8b603ea911e61771191e4074","Панели шумозащитные"
"0x8409ce9a969e80fd4e609bca376a3a3c","Парогененраторы"
"0x8f90172aef7fe6d34951e53f03413373","Парообразователь"
"0xb5526cae8b60617d11e5d0b82ccb8a13","Перчатки"
"0xabd47f18653b83ed4c0c3e8fc85ebccc","Пластмасса"
"0x9942e61f13ed5cb911e5d57cc75eae4c","Шкаф пожарный"
"0xb5526cae8b60617d11e5d374751360b1","Помпа"
"0xb57ef1d5bc9b7b7d4e661bcefc4eefb3","Ультразвуковой прибор"
"0xbabde61f13ed5cb911e5fc9c1c1de251","Стоматологический прибор"
"0x98086eae8b603ea911e5e1f36993a06e","Профоборудование"
"0xa73a91cadc6f170142e2b1a34ce3186f","Радар"
"0x828f6c7b14f7446b4a11402ae71d2b08","Радиаторы"
"0xa06f6043f56bbbec4dad18cf545adcdf","Радиодетали"
"0x851c6eae8b603ea911e62e1b5ec7f3c6","Рамы"
"0xbabde61f13ed5cb911e60220c0d3eaaa","Штанга распорная"
"0xb2dc0f3b11aaa988475d59081e2d646d","Редуктор"
"0xb26e6cae8b60617d11e6129dcf83f634","Ротор"
"0x86a5c8b6d95477fe41cd4d1926c9c197","Сверла"
"0xb5526cae8b60617d11e5dad0779e844e","Сейф"
"0x80074917ffc2a5c94ca8b6ef13b491d2","Сетка"
"0xb26e6cae8b60617d11e6231c3ea7c1ba","Сигвеи"
"0xa0915f0bb3ab61c7482e297518eb32e4","Сидения"
"0x8039117d7dcc8342443bd8a0e4153906","Туристическое снаряжение"
"0x85ed899e98af12ae42a04c34fce8f6ab","Шиномонтажный станок"
"0x8b0d85a13cdf9f3d401825dce54e52c3","Стерилизатор"
"0xa68dceb7af07c8cc483ffd8bbf2ff011","Стол"
"0x98086eae8b603ea911e5e1f3a59429a8","Стоматологическая техника"
"0xba9de61f13ed5cb911e6531dbc92c5a3","Стройматериалы"
"0x98086eae8b603ea911e5e1f3ab911efb","Стройтехника"
"0x98086eae8b603ea911e5e1f3ab911f10","Стройхимия"
"0x80b8d506780e38fa4f1feea8d43f2ec5","Строп"
"0x9942e61f13ed5cb911e5d6e59cbe9fa3","Стулья"
"0x98086eae8b603ea911e5df87e1f8c217","Шкаф сушильный"
"0x9942e61f13ed5cb911e5dba69f8ad18e","Счетчики тепла"
"0xb5526cae8b60617d11e5d7be60caf393","Счетчики электроэнергии"
"0xb26e6cae8b60617d11e6020d785b217e","Шкаф телекоммуникационный"
"0x9942e61f13ed5cb911e5d4aea18fa50c","Теплообменники"
"0xbabde61f13ed5cb911e5f73c9a382179","Трансформатор"
"0x9942e61f13ed5cb911e5d17dc7d0d78a","Щит управления"
"0xa14f6cae8b603ead11e67b08f5f29969","Фильтры "
"0x8258848c4ab606e04243399021600c87","Фотопродукция"
"0x851c6eae8b603ea911e5fd7a497780ca","Шкаф холодильный"
"0x98086eae8b603ea911e5decc713354f4","Шкаф"
"0xab766cae8b60617d11e670321fedc2bf","Шумоглушитель"
"0x9942e61f13ed5cb911e5dee6b0f1de8b","Щит"
"0xb5526cae8b60617d11e5daff2aa58bc5","Экран"
"0x98086eae8b603ea911e5e1f3ed746e6b","Электромоторы"
